Project ID	Project	Stars	NbCommits	Repo Creation Date	First Commit Date	Last Commit Date
1	compomics/compomics-utilities	19	3520	2015-08-21T21:30:27Z	2010-02-05T09:56:41Z	2021-01-06T12:38:25Z
2	tuomount/Open-Realms-of-Stars	41	3751	2016-05-08T16:23:41Z	2016-05-08T16:23:41Z	2021-01-17T21:17:14Z
3	Alfresco/alfresco-repository	73	12666	2017-07-26T21:04:12Z	2005-12-08T07:13:07Z	2020-10-26T17:48:19Z
4	elimu-ai/webapp	8	4222	2016-01-02T13:55:50Z	2016-01-02T13:55:50Z	2021-01-18T15:22:28Z
5	compomics/peptide-shaker	23	3660	2015-08-21T21:32:15Z	2011-01-10T17:40:11Z	2021-01-18T15:42:17Z
6	Alfresco/alfresco-remote-api	18	6190	2017-07-26T14:43:20Z	2005-12-08T07:13:07Z	2020-10-26T17:48:48Z
7	Ghost-chu/QuickShop-Reremake	69	5603	2018-07-26T14:33:29Z	2015-07-05T14:05:58Z	2021-01-18T08:14:37Z
8	classgraph/classgraph	1730	4585	2014-08-17T20:46:57Z	2014-08-17T20:46:57Z	2021-01-06T02:54:10Z
9	burningwave/core	7	4922	2019-12-30T07:42:17Z	2019-12-30T07:42:18Z	2021-01-18T16:54:19Z
10	TencentCloud/tencentcloud-sdk-java	213	413	2018-04-17T02:58:16Z	2018-04-25T05:11:01Z	2021-01-19T03:35:10Z
11	Rocologo/BagOfGold	8	1269	2017-11-01T20:37:33Z	2013-06-12T10:23:24Z	2020-10-12T13:38:38Z
12	bwssytems/ha-bridge	1312	651	2015-07-28T17:27:11Z	2015-07-28T17:21:10Z	2020-12-14T18:20:52Z
13	ebean-orm/ebean	1068	4462	2012-09-13T11:49:56Z	2012-09-13T11:49:56Z	2021-01-19T11:10:09Z
14	RipMeApp/ripme	1885	2533	2017-01-06T17:12:09Z	2014-02-25T09:28:22Z	2020-11-26T00:52:06Z
15	javaito/HolandaCatalinaFw	11	956	2016-01-14T19:26:34Z	2016-01-14T19:48:54Z	2021-01-18T15:37:28Z
16	lastaflute/lastaflute	32	1136	2015-05-01T13:48:32Z	2015-05-01T15:47:04Z	2020-12-02T15:30:36Z
17	seasarorg/dbflute	16	6997	2013-10-01T11:27:10Z	2006-09-25T16:18:04Z	2019-01-01T05:45:41Z
18	gitlab4j/gitlab4j-api	429	1914	2014-02-18T05:09:14Z	2014-02-18T05:10:33Z	2020-09-08T15:13:28Z
19	scireum/sirius-web	17	3095	2014-11-27T16:27:47Z	2014-11-27T16:51:30Z	2021-01-15T10:50:59Z
20	FenixEdu/fenixedu-academic	154	38411	2013-05-20T13:53:51Z	2003-02-14T19:12:32Z	2021-01-18T22:29:12Z
21	tonikelope/megabasterd	879	715	2016-09-29T16:54:54Z	2016-09-29T16:53:14Z	2021-01-13T12:14:20Z
22	technology16/dbreplicator2	5	893	2013-10-15T12:28:26Z	2013-10-15T12:28:26Z	2020-10-05T13:56:58Z
23	mcMMO-Dev/mcMMO	609	6186	2012-01-05T18:54:08Z	2010-09-28T11:35:34Z	2021-01-11T18:34:14Z
24	Shadorc/Shadbot	11	3277	2017-07-19T17:45:51Z	2017-07-19T17:47:00Z	2020-12-21T23:40:57Z
25	finmath/finmath-lib	234	4370	2013-03-17T10:00:22Z	2013-03-17T09:55:47Z	2021-01-13T15:04:24Z
26	Backbase/bb-fuel	12	1524	2018-10-25T06:20:13Z	2017-09-21T18:42:45Z	2021-01-08T09:23:59Z
27	sboesebeck/morphium	50	3096	2012-07-12T12:48:33Z	2012-03-31T14:58:19Z	2021-01-18T07:30:47Z
28	torakiki/sambox	28	5022	2015-02-17T09:14:01Z	2008-02-10T18:26:16Z	2020-12-11T14:53:28Z
29	Alfresco/alfresco-data-model	12	781	2017-01-25T10:56:14Z	2016-09-15T15:47:59Z	2020-10-26T17:53:08Z
30	fslev/cucumber-utils	5	1617	2018-06-08T09:23:26Z	2018-06-08T09:53:31Z	2021-01-04T08:57:17Z
31	jenkinsci/sauce-ondemand-plugin	21	1024	2010-12-13T05:51:17Z	2010-05-25T00:33:30Z	2020-09-25T12:23:41Z
32	yangfuhai/jboot	607	3053	2017-05-24T01:26:12Z	2017-05-21T08:48:34Z	2021-01-16T01:28:51Z
33	MagmaGuy/EliteMobs	29	416	2016-12-20T16:31:37Z	2016-10-08T10:03:31Z	2021-01-16T22:39:49Z
34	NLPchina/elasticsearch-sql	5923	943	2014-08-24T14:26:31Z	2014-08-24T14:26:31Z	2021-01-11T14:32:58Z
35	UniversalMediaServer/UniversalMediaServer	1130	8147	2012-06-07T22:23:22Z	2012-06-07T22:23:22Z	2021-01-18T22:01:07Z
36	sanity/quickml	230	1158	2011-09-20T20:10:50Z	2011-09-20T11:55:47Z	2017-05-17T05:37:21Z
37	jidesoft/jide-oss	140	2405	2012-05-16T21:19:02Z	2007-02-14T03:18:54Z	2020-10-06T16:56:34Z
38	chargebee/chargebee-java	17	667	2012-04-05T14:59:06Z	2012-04-05T15:02:56Z	2020-12-15T05:52:28Z
39	dmandalidis/docker-client	11	2130	2019-10-01T03:36:41Z	2014-06-04T15:10:28Z	2021-01-17T23:27:52Z
40	spotify/docker-client	1334	1853	2014-06-04T13:22:10Z	2014-06-04T15:10:28Z	2019-06-30T17:29:19Z
41	fabric8io/kubernetes-assertions	6	13499	2020-02-21T09:42:48Z	2011-04-13T19:50:46Z	2020-05-21T11:44:34Z
42	zendesk/maxwell	2162	3263	2015-02-09T22:06:13Z	2014-05-21T17:59:46Z	2020-12-23T11:03:20Z
43	synyx/urlaubsverwaltung	154	5911	2013-07-18T13:44:51Z	2011-10-20T14:35:55Z	2021-01-19T07:49:25Z
44	belaban/JGroups	805	19191	2010-11-07T15:51:28Z	2003-09-09T01:24:04Z	2021-01-15T12:24:25Z
45	CodeStory/fluent-http	197	2009	2014-03-17T15:56:38Z	2013-06-21T08:42:27Z	2020-12-03T09:47:28Z
46	OpenHFT/Chronicle-Threads	67	1162	2015-02-24T13:43:50Z	2015-02-24T13:43:56Z	2021-01-18T07:44:17Z
47	eccentricdevotion/TARDIS	48	6021	2012-07-06T10:10:11Z	2012-07-06T10:07:27Z	2021-01-19T04:34:31Z
48	twilio/twilio-java	354	1984	2009-09-15T06:04:28Z	2009-09-15T06:06:14Z	2021-01-13T23:42:45Z
49	geNAZt/CloudChat	10	292	2013-11-30T16:54:09Z	2013-11-30T16:55:24Z	2014-04-10T20:19:42Z
50	MohabMohie/SHAFT_ENGINE	23	709	2018-07-15T07:02:02Z	2018-07-15T07:02:03Z	2021-01-19T13:12:55Z
51	saucelabs/ci-sauce	12	685	2011-12-02T04:40:18Z	2011-12-02T11:02:26Z	2021-01-12T09:10:30Z
52	jenkinsci/kubernetes-plugin	1641	3107	2015-02-16T09:02:22Z	2014-09-22T17:44:22Z	2021-01-15T16:03:51Z
53	magnusmickelsson/pokeraidbot	8	685	2017-09-06T10:27:28Z	2017-09-06T10:27:29Z	2020-12-14T15:29:43Z
54	4pr0n/ripme	871	587	2014-02-26T03:30:50Z	2014-02-25T09:28:22Z	2017-11-17T10:12:09Z
55	thezerothcat/LaMulanaRandomizer	33	422	2017-07-12T01:09:30Z	2017-07-12T01:09:03Z	2020-03-29T21:36:19Z
56	wireapp/lithium	63	300	2017-01-23T09:39:28Z	2017-01-23T09:35:25Z	2021-01-14T16:19:59Z
57	jenkinsci/warnings-plugin	71	3939	2010-12-14T20:42:03Z	2008-05-11T15:38:38Z	2020-11-01T18:46:49Z
58	sanaehirotaka/logbook-kai	81	1110	2015-10-06T15:13:59Z	2015-10-06T15:13:59Z	2020-09-12T00:20:42Z
59	jenkinsci/xunit-plugin	66	860	2010-12-14T20:48:15Z	2009-08-04T21:56:05Z	2020-12-25T04:28:08Z
60	groupon/DotCi	508	1699	2014-05-19T18:33:11Z	2014-05-15T20:17:27Z	2018-02-05T22:19:48Z
61	libraryaddict/LibsDisguises	107	2197	2013-05-17T20:56:12Z	2013-05-17T21:05:19Z	2021-01-19T00:33:53Z
62	Ben12345rocks/VotingPlugin	31	1691	2016-03-20T21:19:10Z	2016-03-20T22:53:16Z	2021-01-18T22:44:00Z
63	XeroAPI/Xero-Java	46	603	2016-06-14T21:22:47Z	2016-06-14T21:22:48Z	2020-12-12T00:02:26Z
64	jenkinsci/envinject-plugin	69	814	2011-07-16T20:09:41Z	2011-07-16T20:07:42Z	2020-12-26T17:01:01Z
65	DigitalMediaServer/DigitalMediaServer	18	7314	2016-02-19T15:26:46Z	2012-06-07T22:23:22Z	2019-08-22T00:43:42Z
66	killbill/killbill-api	11	996	2013-06-14T13:11:24Z	2013-06-14T13:11:24Z	2020-09-04T06:03:05Z
67	gbif/gbif-api	13	1249	2013-12-09T16:12:41Z	2013-12-09T16:12:41Z	2021-01-18T21:44:03Z
68	imagej/ImageJA	50	1482	2011-08-03T12:51:50Z	2007-06-07T20:46:49Z	2020-12-01T16:38:48Z
69	alkarinv/BattleArena	31	344	2012-08-10T21:29:29Z	2012-08-10T21:34:03Z	2014-06-26T22:08:49Z
70	metamx/java-util	50	568	2011-10-21T18:41:10Z	2011-10-21T23:19:21Z	2020-06-29T19:20:41Z
71	kali/lackr	6	665	2010-03-14T09:54:59Z	2010-03-14T09:52:37Z	2014-03-26T14:25:56Z
72	clojure/clojure	8425	3334	2010-06-29T20:03:33Z	2006-03-24T14:49:31Z	2021-01-15T18:50:54Z
73	scireum/sirius-kernel	25	1186	2014-11-25T17:42:50Z	2014-11-25T17:45:40Z	2020-12-17T10:51:02Z
74	bitbar/testdroid-api	5	1132	2013-03-22T10:58:16Z	2013-03-22T11:00:10Z	2020-12-15T17:19:08Z
75	houbb/heaven	5	371	2019-02-20T14:13:01Z	2019-02-20T14:13:09Z	2021-01-15T07:16:47Z
76	landawn/abacus-util	5	297	2019-07-27T02:05:33Z	2019-07-27T02:05:33Z	2021-01-18T23:29:57Z
77	authlete/authlete-java-common	7	786	2014-10-06T06:42:37Z	2014-10-06T12:23:43Z	2020-12-14T06:09:45Z
78	jenkinsci/violation-comments-to-stash-plugin	36	463	2015-05-02T10:42:38Z	2015-05-01T18:07:36Z	2020-12-06T11:55:57Z
79	jenkinsci/git-client-plugin	96	2624	2013-02-18T07:23:45Z	2013-02-18T07:25:44Z	2021-01-18T05:29:29Z
80	bullhorn/sdk-rest	23	875	2015-05-07T19:46:25Z	2016-02-12T20:13:44Z	2021-01-07T14:15:14Z
81	clij/clij	59	763	2018-02-17T18:23:16Z	2018-02-17T18:44:04Z	2020-10-10T15:08:07Z
82	javaee/grizzly-ahc	28	2780	2017-04-24T05:09:11Z	2010-02-16T21:34:29Z	2018-08-21T09:36:59Z
83	jenkinsci/remoting	115	2861	2011-07-13T05:06:16Z	2006-12-12T07:00:56Z	2020-12-22T21:28:22Z
84	jenkinsci/ghprb-plugin	442	1270	2012-09-04T13:34:20Z	2012-08-27T07:45:44Z	2019-01-26T10:34:06Z
85	tomasbjerre/pull-request-notifier-for-bitbucket	170	552	2015-03-25T21:42:52Z	2015-03-25T06:15:04Z	2020-12-05T17:46:35Z
86	Ben12345rocks/AdvancedCore	17	1899	2016-08-20T00:53:15Z	2016-08-20T00:53:16Z	2021-01-18T22:43:10Z
87	cucumber-attic/gherkin2	390	1832	2009-09-01T00:42:05Z	2009-09-01T00:42:03Z	2016-05-26T04:55:52Z
88	proofpoint/event-collector	12	504	2011-11-17T23:18:50Z	2011-08-24T16:57:42Z	2015-11-12T21:48:14Z
89	NLPchina/elasticsearch-analysis-ansj	520	294	2013-10-11T07:16:12Z	2013-10-11T08:26:41Z	2020-11-08T09:53:42Z
90	Valkryst/VTerminal	42	2432	2017-05-21T14:45:20Z	2010-12-08T21:52:24Z	2020-12-28T15:31:49Z
91	compomics/denovogui	5	713	2015-08-21T21:32:34Z	2013-02-28T12:29:42Z	2020-10-13T11:55:20Z
92	hub4j/github-api	673	2685	2010-04-19T04:13:03Z	2010-04-19T04:07:10Z	2021-01-15T04:14:08Z
93	NigelWu95/qiniu-suits-java	54	2379	2018-08-28T19:02:19Z	2018-08-28T19:06:17Z	2020-11-25T20:36:08Z
94	TownyAdvanced/Towny	161	3602	2014-12-04T05:21:02Z	2011-07-10T00:29:35Z	2021-01-18T14:05:12Z
95	felx/nimbus-jose-jwt	5	1217	2017-09-12T09:28:58Z	2012-09-14T12:56:09Z	2017-08-26T06:40:43Z
96	alibaba/fastjson	21865	3798	2011-11-03T06:58:52Z	2011-07-31T12:03:29Z	2021-01-10T17:12:28Z
97	compomics/searchgui	20	736	2015-08-21T21:31:39Z	2015-08-21T22:34:16Z	2021-01-11T16:20:01Z
98	oVirt/ovirt-engine-api-model	15	1235	2015-12-18T15:20:37Z	2015-12-18T15:04:20Z	2020-12-16T13:18:10Z
99	CableIM/Cable-Server	20	378	2017-02-05T16:17:33Z	2013-12-09T07:11:09Z	2017-06-16T00:00:46Z
100	JBEI/ice	31	4848	2013-10-18T17:43:58Z	2009-11-05T14:47:40Z	2021-01-14T16:17:06Z
101	jenkinsci/p4-plugin	58	1447	2014-07-03T16:12:05Z	2014-06-26T10:33:34Z	2021-01-14T21:10:16Z
102	mingzuozhibi/mzzb-server	7	674	2017-01-24T13:26:22Z	2017-01-21T11:13:54Z	2019-10-05T04:52:03Z
103	intive-FDV/DynamicJasper	167	707	2012-03-14T13:43:13Z	2007-02-01T13:44:41Z	2020-07-23T22:34:36Z
104	PLOS/wombat	9	7054	2013-06-10T19:01:44Z	2013-05-20T18:57:22Z	2020-08-05T03:33:39Z
105	braintree/braintree_java	117	1909	2010-02-23T21:44:12Z	2010-02-23T21:52:12Z	2020-12-17T21:01:33Z
106	HabitatMap/AirCastingAndroidClient	39	1610	2012-01-17T13:17:09Z	2012-01-17T14:45:09Z	2020-09-17T12:52:30Z
107	ebean-orm/ebean-agent	13	524	2012-09-13T11:45:53Z	2012-09-13T11:45:53Z	2021-01-05T04:42:20Z
108	iotaledger/iri	1188	2701	2016-10-24T22:06:06Z	2016-10-24T22:06:06Z	2020-08-18T11:14:03Z
109	jenkinsci/tasks-plugin	7	1136	2010-12-14T20:39:05Z	2007-08-08T22:17:33Z	2019-09-24T11:34:22Z
110	pshdl/org.pshdl	5	489	2014-05-23T09:59:49Z	2012-01-26T18:15:10Z	2017-06-01T16:22:48Z
111	AppDirect/service-integration-sdk	6	626	2016-10-07T14:32:49Z	2016-10-07T14:32:50Z	2020-12-14T09:37:27Z
112	janrain/janrain-backplane-2	12	699	2011-12-15T17:24:41Z	2011-12-15T18:16:42Z	2013-08-26T17:34:38Z
113	WileyLabs/teasy	25	617	2017-06-09T17:57:20Z	2016-07-29T11:20:44Z	2021-01-11T13:54:21Z
114	bserdar/jcliff	32	335	2013-03-28T18:15:57Z	2013-04-02T03:59:11Z	2021-01-09T22:31:38Z
115	greese/dasein-cloud-google	6	1488	2012-12-06T15:26:22Z	2012-12-06T15:26:22Z	2015-06-29T10:38:16Z
116	treasure-data/td-client-java	10	1276	2012-03-05T08:45:22Z	2012-03-05T08:51:22Z	2020-10-20T01:18:48Z
117	xixifeng/fastquery	59	412	2016-05-13T03:17:48Z	2016-05-09T13:27:54Z	2021-01-15T04:32:21Z
118	FusionAuth/fusionauth-java-client	5	300	2018-08-24T19:19:40Z	2018-08-24T19:30:53Z	2021-01-14T05:51:34Z
119	amazon-archives/aws-sdk-java-samples	30	221	2016-05-25T16:55:39Z	2016-05-26T20:33:57Z	2018-03-28T21:31:10Z
120	LibsHungergames/LibsHungergames	8	852	2013-04-13T03:42:29Z	2013-04-13T03:42:35Z	2016-07-30T02:43:03Z
121	codelibs/elasticsearch-cluster-runner	55	441	2014-06-08T09:28:23Z	2014-06-08T09:28:24Z	2021-01-15T21:59:59Z
122	jenkinsci/artifactory-plugin	83	1997	2010-12-13T05:25:58Z	2009-12-10T14:43:21Z	2021-01-03T17:59:26Z
123	jgralab/jgralab	14	7630	2012-02-10T08:50:10Z	2007-12-17T15:27:45Z	2019-08-05T12:52:27Z
124	jnr/jnr-posix	191	779	2011-07-24T02:15:59Z	2008-03-18T00:22:18Z	2021-01-11T21:09:39Z
125	vmi/selenese-runner-java	120	1752	2012-07-16T09:53:49Z	2012-07-16T09:58:23Z	2020-12-08T15:23:14Z
126	LithiumSR/openstud_driver	9	499	2018-05-23T17:23:03Z	2018-05-23T17:23:04Z	2020-06-25T16:09:49Z
127	OpenHFT/Chronicle-Map	1961	2884	2014-07-18T15:33:57Z	2014-07-18T15:33:57Z	2021-01-15T10:29:12Z
128	jenkinsci/analysis-core-plugin	44	1041	2010-12-13T05:25:57Z	2009-09-21T21:15:58Z	2019-11-26T20:39:36Z
129	killbill/killbill-client-java	27	864	2012-06-17T22:33:53Z	2012-06-17T22:33:53Z	2020-09-03T14:15:01Z
130	jenkinsci/email-ext-plugin	278	1449	2010-12-13T05:35:01Z	2007-09-27T22:11:30Z	2021-01-18T07:42:32Z
131	zalando/zalenium	2228	1970	2016-10-04T11:23:35Z	2016-10-04T11:32:39Z	2020-06-14T12:06:05Z
132	checkstyle/checkstyle	5359	9851	2013-08-31T02:05:05Z	2001-06-22T13:15:09Z	2021-01-18T22:39:49Z
133	vhyza/elasticsearch-analysis-lemmagen	73	125	2013-11-24T23:58:13Z	2013-11-24T23:56:49Z	2020-11-12T11:42:58Z
134	tastybento/askyblock	86	1580	2014-09-25T22:01:43Z	2014-09-25T23:58:21Z	2019-02-16T20:15:52Z
135	davidmoten/rxjava-extras	268	1431	2014-11-28T23:25:14Z	2014-11-28T23:25:14Z	2020-10-13T02:31:30Z
136	jdereg/java-util	275	670	2013-09-07T19:52:43Z	2013-09-07T19:52:44Z	2021-01-14T22:11:11Z
137	jenkinsci/violation-comments-to-github-plugin	20	345	2016-03-06T22:10:22Z	2016-03-05T04:39:55Z	2020-10-13T03:05:03Z
138	liuanxin/api-document	57	816	2017-12-08T10:08:03Z	2017-12-08T10:09:11Z	2020-11-27T05:26:19Z
139	Alfresco/alfresco-core	22	363	2017-01-25T10:54:18Z	2016-08-30T16:32:57Z	2020-10-26T17:51:58Z
140	GreWeMa/GWMCrates	5	209	2017-06-14T11:15:22Z	2017-06-14T11:17:58Z	2021-01-10T11:48:17Z
141	jenkinsci/perforce-plugin	54	1032	2010-12-13T05:51:46Z	2007-09-28T19:52:45Z	2021-01-14T23:24:59Z
142	jpmml/jpmml-sparkml	215	592	2016-05-05T09:16:59Z	2016-05-05T09:15:03Z	2020-12-26T17:50:50Z
143	mcMMO-Dev/mcMMO-Classic	22	4971	2019-01-02T02:28:40Z	2010-09-28T11:35:34Z	2020-12-06T20:00:28Z
144	bastillion-io/Bastillion	2461	535	2013-02-07T23:11:49Z	2013-02-07T23:11:50Z	2020-08-02T16:09:48Z
145	dzhw/metadatamanagement	19	8521	2015-07-21T07:35:40Z	2015-07-21T07:35:40Z	2020-12-17T11:55:19Z
146	mikera/vectorz	185	4480	2012-09-28T03:15:25Z	2012-09-28T03:15:25Z	2020-04-17T23:03:39Z
147	BillyGalbreath/Ridables	33	258	2018-08-03T12:29:10Z	2018-08-03T12:29:11Z	2019-03-22T16:19:42Z
148	Praqma/cool	5	1494	2011-03-22T08:09:04Z	2006-07-25T20:58:50Z	2019-07-19T12:04:36Z
149	dbjorge/jorbs-spire-mod	29	2198	2019-10-12T00:34:52Z	2019-10-12T00:34:53Z	2020-12-30T15:45:58Z
150	jenkinsci/credentials-plugin	61	901	2012-02-23T18:57:07Z	2012-02-27T10:41:13Z	2021-01-06T16:13:59Z
151	jpmml/jpmml-sklearn	394	914	2015-09-20T17:15:13Z	2015-09-20T17:16:35Z	2021-01-12T19:28:16Z
152	jenkinsci/subversion-plugin	107	1146	2010-12-13T05:24:54Z	2009-06-16T00:32:22Z	2021-01-17T16:04:04Z
153	linagora/linshare-core	43	5352	2013-12-20T15:22:40Z	2009-10-06T16:56:23Z	2021-01-14T08:48:16Z
154	mvel/mvel	697	3101	2011-05-17T17:59:38Z	2007-01-01T20:21:11Z	2021-01-13T13:53:20Z
155	jenkinsci/workflow-cps-plugin	108	2579	2016-04-05T20:24:40Z	2014-05-10T01:52:48Z	2020-12-23T21:08:44Z
156	opensourceBIM/IfcPlugins	11	459	2016-01-18T12:43:30Z	2016-01-18T12:43:30Z	2020-03-12T09:39:36Z
157	f4b6a3/uuid-creator	28	629	2018-05-03T22:57:00Z	2018-04-23T13:40:19Z	2021-01-18T06:20:15Z
158	hsiafan/requests	428	228	2014-11-26T05:37:27Z	2014-10-28T02:53:57Z	2019-12-19T04:37:41Z
159	jenkinsci/analysis-model	40	3889	2014-09-29T18:48:31Z	2008-05-11T15:40:51Z	2021-01-11T18:54:02Z
160	jenkinsci/checkstyle-plugin	29	847	2010-12-13T05:32:27Z	2008-05-12T11:21:11Z	2019-09-24T11:33:19Z
161	jenkinsci/cucumber-reports-plugin	151	460	2013-02-11T11:49:39Z	2012-04-14T07:20:12Z	2021-01-06T20:47:04Z
162	jenkinsci/pmd-plugin	26	862	2010-12-14T20:36:15Z	2008-03-30T21:27:57Z	2019-09-24T11:33:52Z
163	brettwooldridge/HikariCP	13192	2752	2013-10-08T05:43:03Z	2013-10-08T05:43:03Z	2021-01-13T08:03:10Z
164	ucchyocean/LunaChat	25	409	2013-04-21T15:08:01Z	2013-04-21T15:10:26Z	2020-10-13T23:09:33Z
165	graphaware/neo4j-resttest	13	314	2014-06-17T21:55:25Z	2014-06-17T21:55:53Z	2020-11-14T14:37:31Z
166	jenkinsci/mercurial-plugin	56	1176	2010-12-13T05:49:17Z	2007-04-06T14:45:55Z	2020-11-09T06:39:09Z
167	jenkinsci/monitoring-plugin	15	481	2010-12-13T05:46:27Z	2009-10-21T20:37:21Z	2020-12-22T22:24:22Z
168	opensourceBIM/IfcOpenShell-BIMserver-plugin	31	425	2014-03-31T09:11:34Z	2014-03-31T09:11:34Z	2020-02-03T20:54:59Z
